Source,Target,Type,Weight
51,137,directed,1
137,1,undirected,3
137,126,undirected,4
137,20,undirected,4
137,9,directed,3
137,51,directed,2
137,119,directed,2
137,27,directed,2
137,7,undirected,4
137,23,undirected,4
137,24,undirected,4
51,138,directed,1
138,1,undirected,3
138,126,undirected,4
138,20,undirected,4
138,9,directed,3
138,51,directed,2
138,119,directed,2
138,27,directed,2
138,7,undirected,4
138,23,undirected,4
138,24,undirected,4
51,79,directed,1
79,1,undirected,3
79,126,undirected,4
79,20,undirected,4
79,9,directed,3
79,51,directed,2
79,119,directed,2
79,27,directed,2
79,7,undirected,4
79,23,undirected,4
79,24,undirected,4
51,22,directed,1
22,1,undirected,3
22,126,undirected,4
22,20,undirected,4
22,9,directed,3
22,51,directed,2
22,119,directed,2
22,27,directed,2
22,7,undirected,4
22,23,undirected,4
22,24,undirected,4
51,83,directed,1
83,1,undirected,3
83,126,undirected,4
83,20,undirected,4
83,9,directed,3
83,51,directed,2
83,119,directed,2
83,27,directed,2
83,7,undirected,4
83,23,undirected,4
83,24,undirected,4
51,123,directed,1
123,1,undirected,3
123,126,undirected,4
123,20,undirected,4
123,9,directed,3
123,51,directed,2
123,119,directed,2
123,27,directed,2
123,7,undirected,4
123,23,undirected,4
123,24,undirected,4
144,74,directed,2
74,124,undirected,5
74,100,undirected,5
74,9,undirected,5
74,24,undirected,5
74,70,undirected,5
74,6,undirected,5
74,1,undirected,5
134,38,undirected,6
134,28,undirected,6
134,24,undirected,3
75,38,undirected,6
75,28,directed,1
71,145,directed,1
1,71,directed,1
146,145,directed,1
1,146,directed,1
79,145,directed,1
1,79,directed,1
147,145,directed,1
1,147,directed,1
72,145,directed,1
1,72,directed,1
134,23,directed,1
78,37,directed,1
78,131,directed,1
78,76,directed,1
78,38,undirected,4
68,148,undirected,5
68,38,undirected,4
75,48,directed,1
83,115,directed,1
83,149,directed,1
83,42,directed,1
83,63,directed,3
83,116,directed,1
83,117,directed,1
83,107,directed,1
75,150,directed,1
75,151,directed,1
75,38,directed,1
83,95,undirected,4
83,8,directed,3
83,20,directed,3
22,31,undirected,4
151,22,directed,2
69,114,undirected,6
69,114,undirected,5
32,69,directed,1
69,30,directed,3
69,113,undirected,5
1,85,undirected,4
1,11,undirected,4
1,55,undirected,4
20,1,directed,1
87,20,directed,1
8,20,directed,1
74,27,directed,1
74,9,directed,2
74,7,directed,1
21,20,undirected,5
8,21,directed,1
83,44,directed,1
83,139,directed,1
83,140,directed,1
83,141,directed,1
83,142,directed,1
83,143,directed,1
83,150,directed,2
150,75,directed,3
75,139,undirected,5
75,140,undirected,5
75,141,undirected,5
75,142,undirected,5
75,143,undirected,5
75,63,undirected,4
70,72,directed,1
1,72,directed,1
72,27,undirected,4
70,73,directed,1
1,73,directed,1
73,27,undirected,4
75,150,directed,1
75,38,directed,2
75,54,directed,1
75,42,directed,2
150,78,directed,1
78,46,directed,1
78,76,directed,1
78,77,directed,1
153,27,undirected,4
153,134,undirected,4
153,20,undirected,4
153,1,undirected,4
153,70,undirected,4
153,8,undirected,4
18,153,directed,1
153,54,undirected,4
153,6,undirected,4
153,9,undirected,4
153,53,directed,2
11,153,directed,3
55,153,directed,3
56,153,directed,3
110,153,directed,3
26,27,undirected,4
26,134,undirected,4
26,20,undirected,4
26,1,undirected,4
26,70,undirected,4
26,8,undirected,4
18,26,directed,1
26,54,undirected,4
26,6,undirected,4
26,9,undirected,4
26,53,directed,2
11,26,directed,3
55,26,directed,3
56,26,directed,3
110,26,directed,3
21,27,undirected,4
21,134,undirected,4
21,20,undirected,4
21,1,undirected,4
21,70,undirected,4
21,8,undirected,4
18,21,directed,1
21,54,undirected,4
21,6,undirected,4
21,9,undirected,4
11,21,directed,3
55,21,directed,3
56,21,directed,3
110,21,directed,3
57,27,undirected,4
57,134,undirected,4
57,20,undirected,4
57,1,undirected,4
57,70,undirected,4
57,8,undirected,4
18,57,directed,1
57,54,undirected,4
57,6,undirected,4
57,9,undirected,4
11,57,directed,3
55,57,directed,3
56,57,directed,3
110,57,directed,3
58,27,undirected,4
58,134,undirected,4
58,20,undirected,4
58,1,undirected,4
58,70,undirected,4
58,8,undirected,4
18,58,directed,1
58,54,undirected,4
58,6,undirected,4
58,9,undirected,4
11,58,directed,3
55,58,directed,3
56,58,directed,3
110,58,directed,3
60,27,undirected,4
60,134,undirected,4
60,20,undirected,4
60,1,undirected,4
60,70,undirected,4
60,8,undirected,4
18,60,directed,1
60,54,undirected,4
60,6,undirected,4
60,9,undirected,4
11,60,directed,3
55,60,directed,3
56,60,directed,3
110,60,directed,3
21,18,directed,1
21,16,directed,1
21,26,directed,1
21,5,directed,1
21,70,directed,1
21,10,directed,1
19,11,directed,1
19,27,directed,1
19,8,directed,1
19,6,directed,1
26,38,directed,1
26,39,directed,1
26,44,directed,3
26,114,directed,2
